code,population
mh_MH,56879
mi,137913
mi_NZ,137913
mic,7915
mic_CA,7915
min,8010780
min_ID,8010780
mk,1608564
mk_AL,14450
mk_GR,169713
mk_MK,1424399
ml,43257484
ml_AE,699445
ml_BH,49665
ml_IL,7981
ml_IN,42434880
ml_MY,48978
ml_QA,6599
ml_SG,9935
mls,451059
mls_SD,451059
mn,2948393
mn_MN,2946267
mn_Mong,3624452
mn_Mong_CN,3624452
mn_RU,2125
mni,1476590
mni_BD,17891
mni_IN,1458699
mnw,966113
mnw_MM,848851
mnw_TH,117261
moe,12062
moe_CA,12062
moh,1771
moh_CA,1771
mos,8334160
mos_BF,8334160
mr,92826300
mr_IN,92826300
mrd,251721
mrd_NP,251721
mrj,29761
mrj_RU,29761
mro,29277
mro_BD,29277
ms,34869275
ms_Arab,3228030
ms_Arab_BN,23223
ms_Arab_CC,494
ms_Arab_ID,3204312
ms_BN,431964
ms_ID,9078884
ms_MY,24489075
ms_SG,869352
mt,457267
mt_MT,457267
mtr,1286307
mtr_IN,1286307
mua,277450
mua_CM,277450
mus,3991
mus_US,3991
mvy,326901
mvy_PK,326901
mwk,977670
mwk_ML,977670
mwr,15913080
mwr_IN,15913080
mwv,64086
mwv_ID,64086
mxc,945509
mxc_ZW,945509
my,36559231
my_BD,341567
my_MM,36217664
myv,439338
myv_RU,439338
myx,1254337
myx_UG,1254337
mzn,4246165
mzn_IR,4246165
na,6930
na_NR,6930
nan,26486380
nan_CN,26486380
nap,605306
nap_IT,605306
naq,289307
naq_NA,289307
nb,5468932
nb_NO,5467440
nb_SJ,1492
nch,244435
nch_MX,244435
nd,1745556
nd_ZW,1745556
ndc,3867046
ndc_MZ,2979721
ndc_ZW,887324
nds,11520008
nds_DE,9619164
nds_NL,1900844
ne,20903374
ne_BT,132994
ne_IN,7426104
ne_NP,13344276
new,1000820
new_NP,1000820
ng,552314
ng_NA,552314
ngl,2046677
ngl_MZ,2046677
nhe,501735
nhe_MX,501735
nhw,501735
nhw_MX,501735
nij,987996
nij_ID,987996
niu,1120
niu_NU,1120
njo,305000
njo_IN,305000
nl,31765645
nl_AW,115845
nl_BE,6446385
nl_BQ,1600
nl_CA,56541
nl_CW,12107
nl_DE,7214373
nl_FR,88202
nl_NL,17280400
nl_SR,548612
nl_SX,1578
nmg,8878
nmg_CM,8878
nn,1366860
nn_NO,1366860
nnh,388429
nnh_CM,388429
no,5467440
no_NO,5467440
nod,6621830
nod_TH,6621830
noe,1723917
noe_IN,1723917
nqo,626370
nqo_GN,626370
nr,903417
nr_ZA,903417
nsk,1394
nsk_CA,1394
nso,5307578
nso_ZA,5307578
nus,591427
nus_SS,591427
nv,166319
nv_US,166319
nxq,334564
nxq_CN,334564
ny,17026780
ny_MW,13353858
ny_MZ,782553
ny_ZM,2613990
ny_ZW,276379
nym,1932242
nym_TZ,1932242
nyn,2724939
nyn_UG,2724939
nzi,293402
nzi_GH,293402
oc,2040397
oc_ES,4951
oc_FR,2035446
oj,23747
oj_CA,23747
ojs,15077
ojs_CA,15077
oka,490
oka_CA,490
om,34897120
om_ET,34596160
om_KE,251581
om_SO,49379
or,42434880
or_IN,42434880
os,541444
os_GE,87934
os_RU,453510
osa,0
osa_US,0
pa,40120509
pa_Arab,163450700
pa_Arab_PK,163450700
pa_CA,603105
pa_GB,2367399
pa_IN,37130519
pa_KE,10170
pa_SG,9314
pag,1528533
pag_PH,1528533
pam,2511163
pam_PH,2511163
pap,211640
pap_AW,72851
pap_BQ,16200
pap_CW,122589
pau,16046
pau_PW,16046
pcd,746330
pcd_FR,746330
pcm,44945880
pcm_NG,44945880
pdc,129729
pdc_US,129729
pdt,90465
pdt_CA,90465
pfl,0
pfl_DE,0
pis,561779
pis_SB,561779
pko,369342
pko_KE,369342
pl,41077398
pl_CA,173392
pl_CZ,52442
pl_DE,232463
pl_GB,2630444
pl_IL,130132
